Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2004-08-19,2.492180347442627,2.5845753813544885,2.3833924897422736,2.4837361832747717,893181924
2004-08-20,2.690133810043335,2.709259245143919,2.496154420551176,2.5088217321393733,456686856
2004-08-23,2.717207193374634,2.8185435563368904,2.7085140934436494,2.7507379921148813,365122512
2004-08-24,2.6046934127807617,2.7718495399358525,2.572405397341677,2.7629079775983,304946748
2004-08-25,2.632760524749756,2.6824352159139915,2.580105470430996,2.6069296853443533,183772044
2004-08-26,2.680199146270752,2.681192758442764,2.5994780366251398,2.606680600876557,141897960
2004-08-27,2.6364855766296387,2.697834210528641,2.625061047318626,2.6849186712924276,124235640
2004-08-30,2.5336592197418213,2.6200930589951295,2.5336592197418213,2.614877482937533,103935960
2004-08-31,2.542600631713867,2.57588225987394,2.5373850554790387,2.540861869671604,98357544
2004-09-01,2.489945888519287,2.557503475252065,2.4755398125387496,2.5507971250653956,182765052
2004-09-02,2.521240472793579,2.542600887406688,2.4574086376881734,2.4636178266616633,302373324
2004-09-03,2.4839847087860107,2.526953050986558,2.466846259800643,2.507331399830005,103048848
2004-09-07,2.5229787826538086,2.5334108808247477,2.474049483118901,2.5088216450280103,116950932
2004-09-08,2.5408618450164795,2.558992722145969,2.4961545061837067,2.5021154689193663,99712188
2004-09-09,2.541110038757324,2.5510449774508652,2.5085740314798244,2.54657478745778,81234684
2004-09-10,2.616119384765625,2.646669587766678,2.5160246102065797,2.5234763467210923,173977848
2004-09-13,2.670016050338745,2.6926183003619166,2.6441852116945306,2.6484071757942558,156882960
2004-09-14,2.7691173553466797,2.781784668121256,2.6523812957593176,2.6687745949896304,216579204
2004-09-15,2.7817845344543457,2.837171961726561,2.737077195116372,2.7460187576362287,214261524
2004-09-16,2.830713987350464,2.8761664790170425,2.773091343879428,2.7902288466332967,185326488
2004-09-17,2.9181413650512695,2.9181413650512695,2.820282755683132,2.841890447753842,189450360
2004-09-20,2.964587688446045,3.0202231101740926,2.9002586922592575,2.904729828909626,212575212
2004-09-21,2.9268345832824707,2.9909153465104477,2.9186384074514207,2.975763885978008,144575280
2004-09-22,2.940246105194092,2.972287078456085,2.90125174026042,2.915906039829431,151624224
2004-09-23,3.0008506774902344,3.04580601093572,2.90646769072454,2.9516721962773316,170713116
2004-09-24,2.9762611389160156,3.0823168699369887,2.974522376844617,3.0038307401920843,182469348
2004-09-27,2.9372658729553223,3.0023400146958057,2.9258411079986772,2.9695548365772253,141322536
